Prod Code,Category,Sub Category,Full Tally Name,Article Code,MRP,MOP
146,IT Peripherals,Laptop Sleeves,146BK NeoCase Sleeve MP 450 14,250421,1249,779
795,Gaming,Gaming Mice,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,250881,1099,799
794,Gaming,Gaming Mice,794BK EvoFox Shadow Gaming Mouse USB,250880,799,499
649,Gaming,Cooling Pads,649BK EvoFox Typhoon Laptop Cooling Pad,250876,1999,1399
432,Gaming,Gaming Keyboards,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),250874,1899,1349
433,Gaming,Gaming Keyboards,433BK EvoFox WarHammer Gaming Keyboard (USB),250875,1499,1099
596,Gaming,Mouse Pads,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,250878,1999,999
595,Gaming,Mouse Pads,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,250877,699,349
597,Gaming,Mouse Pads,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,250879,1199,699
419,IT Peripherals,Wireless Keyboard + Mouse,419V2 PRIMUS Wireless Desktop V2,250424,1199,999
416,IT Peripherals,Hubs and Card Readers,416PP Super Speed Hub 4 Port USB 3.0,250417,1499,929
422,Gaming,Gaming Keyboards,422BK Evo Fox Fireblade Gaming Keyboard USB,250873,1299,999
142,IT Peripherals,Laptop Sleeves,142BK NeoCase Sleeve MP 450 13-13.3,250420,1199,749
143,IT Peripherals,Laptop Sleeves,143BK NeoCase Sleeve MP 450 15-15.6,250422,1299,799
650,IT Peripherals,Laptop Stand,650GR Ergo View Laptop Stand-Grey,250423,899,759
850,IT Peripherals,Keyboard + Mouse,850PP Xcite Pro Keyboard & Mouse USB,204737,799,729
851,IT Peripherals,Keyboards,851PP Xcite Pro Keyboard USB,204736,599,549
562,Entertainment,Gaming Consoles,562MM Evo Fox Game Box Bundle,234876,10999,9999
829,Gaming,Gamepads,829BK Bluetooth Controller 4 (EGP4),224360,2599,2299
632,IT Peripherals,Wireless Mice,632BK Fio Wireless Mouse-Black,204742,699,499
997,Gaming,Gaming Bundle,"997PP EvoFox Explore Gaming Bundle (422,423,659,595)",256479,4796,2500
998,Gaming,Gaming Bundle,"998PP EvoFox Prime Gaming Bundle (422,423,658,597)",256480,5496,3000
434,IT Peripherals,Hubs and Card Readers,434PP Type-C 3 in 1 Multiport Adapter,259866,1899,1199
579,Gaming,Gamepads,579GR EvoFox Elite Ops Controller-Grey,259864,2299,1499
580,Gaming,Gamepads,580BL EvoFox Elite Play Wireless Gamepad-Blue,259865,3299,2499
398,IT Peripherals,Keyboards,398PP Xcite Neo Keyboard USB,260089,549,529
400,IT Peripherals,Keyboard + Mouse,400PP Xcite Neo Keyboard & Mouse USB,260090,899,729
341,IT Peripherals,Hubs and Card Readers,341PP Hi-Speed Hub 4 Port USB 2,204739,549,499
435,IT Peripherals,Hubs and Card Readers,435BK Type-C 4 Port USB 3.0 Hub Pro,260085,1599,1059
436,IT Peripherals,Hubs and Card Readers,436BK Type-C 6 in 1 Multiport Hub,260086,2599,1699
442,IT Peripherals,Wireless Mice,442BL Hush Pro Pixel Wireless Mouse-Blue,260087,799,599
651,IT Peripherals,Laptop Stand,651GR Ergo Luxe Alloy Laptop Stand,260082,2799,1999
